image_path,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000000.jpg,0.5176,0.3665,3.219,0.363,-0.628,1.582,-1.477,-0.2651,-2.12,1.775,-2.418,0.6045,-0.373,2.12,-0.5957,-0.635,-1.016,-2.777,1.46,2.396,1.721,-2.312,2.307,-2.957,1.95,-2.018,0.9937,-3.12,-3.496,1.463,0.9907,-1.003,4.094,0.1589,1.654,4.113,2.855,1.873,-1.138,-2.768,2.36,-0.1704,0.611,-2.525,-0.9023,1.608,0.487,0.571,-2.645,2.14,1.494,1.3,0.1283,1.959,0.01361,-1.115,-2.555,-0.02563,-0.868,0.3032,0.998,-0.376,-2.691,-0.04797,-1.273,1.307,-2.043,-1.215,-0.4692,-0.867,-2.7,2.75,-0.963,0.12427,0.2125,-0.01424,-1.485,2.854,-0.456,-1.1,0.01318,0.377,0.5337,2.473,-4.086,-1.665,1.107,-0.0409,-2.135,0.357,0.802,-0.0581,-1.043,1.803,-1.354,0.6084,0.2365,-0.7812,0.3818,2.355,-3.057,4.086,1.601,0.589,0.4595,0.998,0.769,-1.223,0.2803,1.699,0.2932,-0.766,-2.242,1.106,-2.143,-2.121,-0.4492,0.804,-1.898,-1.472,-1.194,2.09,2.047,3.742,-6.0,-0.777,3.473,-0.4888
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000001.jpg,4.055,-0.6953,3.574,-1.166,-1.349,1.384,-2.338,1.872,-2.404,0.392,-2.783,2.082,0.786,0.5947,1.564,0.4717,0.4695,-0.00659,0.3167,-0.4631,2.336,-2.467,-0.7607,-3.105,1.868,-2.037,-2.594,-1.517,-3.133,2.094,0.6587,-3.068,2.049,1.648,0.6465,1.683,4.258,2.879,-2.812,-4.65,3.145,-0.0847,1.736,-0.752,-3.527,1.318,1.863,0.931,-1.865,1.99,2.7,-2.896,1.965,2.062,-0.3477,-1.348,-0.3228,-2.754,-1.618,1.492,2.695,0.9097,-2.906,1.711,2.29,0.679,-2.195,2.598,-0.926,0.3162,-5.273,3.062,-1.41,-0.04492,-1.196,-3.918,-0.3013,3.611,-0.8633,0.929,1.258,1.566,-0.1719,3.814,-1.18,-4.0,1.698,2.236,-1.542,0.621,-0.2634,3.145,-0.8887,3.723,0.1218,1.071,-1.736,-3.504,-0.922,0.01428,-2.49,4.664,1.996,0.43,-1.434,0.4624,-0.01355,-0.2145,2.172,-0.1412,-1.245,-1.47,-3.582,-3.012,0.0334,1.251,-0.4294,-2.748,-3.305,-0.264,-4.14,-1.906,1.904,2.186,-4.695,-0.3389,2.299,2.166
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000002.jpg,0.0559,-0.9727,1.247,0.54,-1.639,0.806,-2.203,0.8105,-0.2192,3.934,-3.602,1.506,1.277,1.514,1.145,-1.369,2.762,-2.875,-0.3242,1.803,2.531,-1.554,1.989,-2.076,1.99,-2.07,2.32,-0.1292,-2.447,0.1969,-0.93,1.225,2.777,2.955,1.662,2.758,2.645,-0.01794,0.948,-1.609,2.354,4.73,-1.508,-1.938,-0.132,-0.524,2.04,0.3484,-3.799,-0.2551,3.133,-0.475,1.248,0.3843,-1.377,-1.157,-1.867,0.539,-2.357,-1.5625,-0.832,0.338,-2.68,1.261,-1.135,-0.9653,-1.266,-0.9326,0.866,0.2676,-0.8438,0.7686,0.4521,-0.3208,0.6836,-1.021,1.262,3.783,-2.332,-0.7715,3.459,1.925,-0.2139,3.701,-4.406,-1.594,-0.3618,-1.254,-1.232,3.363,3.164,1.821,2.172,-0.5566,-0.6646,2.441,-0.3381,0.6665,-0.3328,1.559,-1.216,0.2761,0.5483,1.112,-0.3716,-0.703,1.114,-0.712,2.176,1.82,0.06152,-0.661,-0.4219,-0.1387,0.2141,-2.246,0.7773,0.786,-1.401,-0.816,0.0204,1.121,0.6265,0.706,-0.914,-3.479,2.25,-4.742
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000003.jpg,0.541,-1.359,1.833,-0.381,1.645,2.617,-0.574,-1.815,-0.9727,1.586,-2.883,-0.2185,1.713,-1.975,1.021,-1.919,0.4868,-2.326,0.9844,3.486,1.244,-4.477,0.5537,-0.8545,1.404,0.951,2.645,-1.26,-3.598,1.861,-0.54,0.1909,3.395,-0.991,1.447,2.996,4.094,-0.3179,-0.0001221,-1.076,3.75,2.137,-0.8022,-2.258,-0.3447,1.323,-0.3262,0.3687,-4.49,1.749,1.114,0.461,-0.4536,2.36,1.247,0.98,-2.23,-1.381,0.7183,-0.09485,0.1081,-1.327,-1.527,0.3184,1.025,-0.791,-3.031,1.635,0.317,-0.961,-0.7974,2.441,-1.405,1.088,-0.592,-0.6836,-0.0717,1.609,-2.125,1.283,0.455,0.669,0.01117,0.5786,-4.727,-0.3413,0.269,-1.408,-1.506,2.111,2.684,0.777,-0.1328,0.8965,-1.041,1.923,1.273,0.2325,0.2197,0.1575,-1.278,3.123,1.667,1.658,0.7656,1.447,1.496,-3.082,-0.813,2.084,1.54,-1.855,0.4592,-0.0994,-4.098,-1.021,0.421,0.709,-2.107,2.227,1.23,0.01105,1.203,2.438,-2.033,-0.8994,3.21,-3.867
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000004.jpg,1.5625,0.564,3.75,-1.645,1.33,1.571,-2.049,1.346,-1.836,3.352,-2.762,2.297,1.389,1.053,-1.271,-0.1477,2.303,-2.656,0.3616,0.56,0.569,-0.616,1.297,-1.355,0.7285,-1.762,0.638,-2.3,-4.805,2.754,1.297,-0.3792,1.549,0.3206,0.1487,2.074,2.637,2.256,-0.876,-3.156,3.084,0.3733,-1.791,-2.664,-2.703,0.463,2.113,0.4568,-1.447,0.2434,-0.3271,-0.582,2.598,2.36,-1.973,-0.7285,-1.364,-0.7363,-1.232,1.961,2.355,1.0,-2.31,2.807,0.3296,-0.7065,-1.508,0.2278,-1.218,-0.602,-3.186,0.6064,1.7705,-0.1365,-0.4268,-2.562,-1.383,3.23,-2.793,-0.04498,1.29,0.6475,-0.8066,2.965,-2.51,-2.244,1.541,1.095,-0.4502,2.941,1.537,0.1133,-1.539,0.2554,0.1495,0.4116,-2.262,-0.4487,-0.1144,2.277,0.01965,3.258,1.929,1.475,-0.04187,0.9453,2.375,-0.752,2.342,1.572,0.2427,-3.13,-1.273,-2.596,2.27,0.262,1.746,-0.477,-1.529,-2.86,-1.8125,1.635,0.9937,1.48,-2.973,-1.303,1.602,-1.166
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000006.jpg,-0.9043,2.055,2.281,-0.861,-2.645,1.814,-2.316,0.395,-0.3145,1.584,-1.315,1.977,-0.0558,0.6133,1.598,-3.21,2.934,-1.488,1.95,1.161,3.455,-2.227,0.8345,-1.09,1.76,-1.285,3.488,1.047,-3.672,1.703,-0.754,-2.127,3.207,1.633,0.2336,4.152,3.195,-1.754,-0.0729,-1.373,3.059,1.602,0.2776,-0.8193,1.1455,0.4568,0.1865,1.216,-3.676,-0.4119,1.83,1.018,1.322,0.6953,-0.004395,-0.8604,-4.293,-0.2686,-2.332,-2.18,1.5,0.5938,-3.543,-0.8994,-1.664,-0.801,-0.9995,-1.256,-0.03125,0.1656,-0.329,-0.11084,-1.531,-0.8105,-0.397,-0.0257,0.1313,1.455,-0.8164,-0.07,1.312,1.867,0.3896,1.822,-5.24,-1.157,-1.6045,0.4307,-0.1718,1.34,1.492,2.215,1.116,1.203,-2.46,1.695,0.1124,0.0004883,-0.8877,-0.5063,-2.637,1.61,1.712,0.8486,1.125,-0.001221,0.08234,-3.305,1.58,1.142,-0.06415,-0.4546,1.701,0.4883,-2.078,0.2327,1.838,0.5127,-2.54,0.1998,0.3315,-0.604,1.98,5.406,-3.02,-0.2114,4.04,-2.629
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000007.jpg,1.047,1.301,1.206,0.349,-1.807,-0.859,-2.979,2.562,-1.363,2.172,-1.064,2.38,-0.5557,2.133,1.328,0.558,2.092,-2.148,1.416,-1.328,0.1389,-1.449,2.36,-1.828,0.01547,-2.621,1.142,-0.9526,-2.242,1.857,-1.866,-0.9727,1.771,2.297,0.5093,2.105,1.788,0.2627,0.2554,-0.778,0.3418,1.964,0.09155,-2.145,-0.889,-0.23,2.428,0.6074,-0.628,0.619,3.387,0.04465,0.6514,2.156,-1.56,-3.799,-0.6875,2.133,-1.805,-1.321,0.1255,0.6177,-2.193,1.9375,-0.2441,-1.406,-0.3628,-1.492,0.7,1.318,-2.04,-0.737,-0.3545,-1.42,1.174,-1.298,-0.2615,3.2,-2.062,-1.832,1.289,1.671,0.103,2.271,-1.574,-2.041,0.2407,0.1328,0.3667,0.1055,2.002,0.8633,-0.476,0.5293,0.355,0.81,-1.97,-1.444,-1.853,1.627,-0.8535,0.958,1.381,0.2103,-1.491,0.141,-0.431,-0.841,1.568,1.592,0.6475,-1.936,0.7866,0.835,0.66,0.5645,-0.9907,0.8447,-1.101,-1.131,-1.582,1.148,0.546,3.885,-2.754,-2.645,2.537,-0.469
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000008.jpg,2.143,1.684,4.9,-4.883,-1.316,3.156,0.731,-1.322,-0.538,3.953,-0.8457,0.3555,-0.2793,2.191,-0.352,-2.504,1.765,-3.637,-2.367,-0.5347,1.957,-2.752,-1.02,-1.823,0.506,-1.116,-0.492,-0.876,-7.453,2.082,-0.349,-2.158,3.246,0.1746,-1.076,0.1111,3.836,-1.417,-0.1134,-2.135,2.805,0.0489,2.18,0.3154,-0.579,2.482,-2.057,-0.09644,-2.547,-0.1462,-3.463,2.592,0.3042,2.371,0.4907,0.1403,-3.967,-1.402,-0.6167,-1.104,4.125,1.315,-4.79,-0.4785,-1.591,-2.23,-0.47,0.4385,-0.826,0.1001,-0.6045,-3.645,1.686,-0.579,-0.4424,-0.6025,-2.008,-1.2705,-2.602,0.429,-1.428,-1.303,-0.7563,3.98,-8.86,-0.526,-1.883,1.083,-0.6724,0.01697,2.162,0.4614,-1.639,-0.4546,-1.234,1.774,-3.518,-2.064,3.977,-1.297,-0.3223,6.734,2.547,-0.3716,5.156,2.363,2.938,-4.29,1.904,0.564,0.4678,-2.44,2.732,0.3127,2.398,0.1925,1.963,-1.682,-2.887,-0.6426,-3.25,0.708,1.059,5.336,-3.57,-0.3032,2.096,-1.5
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000009.jpg,0.139,-0.1663,2.328,-1.241,0.789,0.9326,-3.027,0.2397,-4.15,0.955,-1.363,1.338,4.348,-0.746,2.182,-1.102,-0.1763,-3.273,1.68,-1.386,1.285,-0.843,-0.6895,0.0001831,5.207,-1.201,-0.11536,-1.45,-2.715,2.484,1.167,-3.285,1.99,0.4707,0.501,3.246,2.281,-2.082,-1.0625,-4.43,2.607,-1.639,-0.0847,-1.848,-2.521,0.3337,3.34,0.949,-0.8,-0.2085,2.18,-0.7227,0.8755,4.145,-2.438,-2.04,1.092,-2.059,-1.094,0.6465,2.316,-1.667,-1.139,2.207,1.89,0.0729,-0.6733,3.258,-1.893,-0.1244,-1.984,3.062,-1.444,1.824,0.448,-3.451,1.082,2.86,-0.9844,-0.9355,-1.16,-0.6157,1.66,2.088,-0.87,-2.074,2.072,1.035,-0.4468,1.808,1.668,2.562,-1.912,3.129,-0.05835,0.8193,-0.9175,-0.7764,1.35,3.438,-2.322,3.08,4.47,0.967,2.7,-0.9414,-0.1742,-1.29,0.663,1.418,0.4678,-4.055,-0.462,-2.863,-1.389,2.094,1.639,-0.923,-4.383,1.23,-1.32,-2.066,2.562,1.859,-5.312,-1.6875,3.055,1.984
../ISIC_data/ISIC_2019_Training_Input/ISIC_2019_Training_Input//ISIC_0000010.jpg,3.973,-0.314,2.746,-0.445,1.543,2.768,-0.935,1.346,-1.725,-0.0354,-3.37,0.6133,0.688,1.604,1.398,0.664,-0.6904,-0.544,0.509,1.295,0.03418,-3.732,-1.698,-3.934,2.082,0.5713,-1.236,-2.102,-3.797,2.41,1.418,-1.794,2.262,-0.8184,3.215,1.809,3.617,2.316,-4.016,-3.893,2.148,-1.142,0.9785,-1.725,-4.848,2.084,1.824,0.389,-1.547,1.44,0.841,-2.496,2.54,2.697,-0.3335,0.697,0.479,-1.955,-1.71,2.012,3.488,-1.297,-1.378,1.378,0.8154,2.797,-2.031,3.227,-1.082,-0.537,-3.512,3.648,-1.973,0.2568,-1.814,-2.57,-1.629,2.936,-2.676,-0.2069,0.8184,-1.268,0.3901,3.164,-0.3567,-5.08,3.879,1.195,-0.8403,0.2988,-0.335,0.999,-1.299,1.666,0.1519,2.371,-1.811,-1.995,1.023,0.6797,0.9297,7.234,4.367,2.266,-0.3362,0.721,2.645,-0.55,2.41,-0.34,0.815,-2.664,-3.217,-4.023,-1.585,0.94,0.252,-2.914,-2.332,0.01221,-3.387,-0.7715,1.992,1.32,-5.71,0.1414,1.785,2.02
